Lady Gaga,ladygaga,http://www.facebook.com/ladygaga
Justin Bieber,justinbieber,http://www.facebook.com/JustinBieber
Kim Kardashian,KimKardashian,http://www.facebook.com/KimKardashian
Ashton Kutcher,aplusk,http://www.facebook.com/Ashton
Barack Obama,BarackObama,http://www.facebook.com/barackobama
Mitt Romney,MittRomney,http://www.facebook.com/mittromney
Bill Gates,BillGates,http://www.facebook.com/BillGates
Mark Zuckerberg,finkd,http://www.facebook.com/zuck
Steve Martin,SteveMartinToGo,http://www.facebook.com/SteveMartinofficial
Stephen Colbert,StephenAtHome,https://www.facebook.com/thecolbertreport
Tiger Woods,TigerWoods,http://www.facebook.com/Tiger
Ariana Huffington,ariannahuff,http://www.facebook.com/AriannaHuffington
Snoop Dogg,SnoopDogg,http://www.facebook.com/snoopdogg
Conan O'Brien,ConanOBrien,http://www.facebook.com/teamcoco
Jimmy Fallon,jimmyfallon,http://www.facebook.com/JimmyFallon
Charlie Sheen,charliesheen,http://www.facebook.com/CharlieSheen
Sean Diddy Combs,iamdiddy,http://www.facebook.com/Diddy
Katy Perry,katyperry,http://www.facebook.com/katyperry
Rihanna,rihanna,http://www.facebook.com/rihanna
Neil deGrasse Tyson,neiltyson,http://www.facebook.com/neildegrassetyson
Oprah Winfrey,Oprah,http://www.facebook.com/oprahwinfrey
Shaq,shaq,http://www.facebook.com/shaqverified
Tom Cruise,TomCruise,http://www.facebook.com/officialtomcruise